wavelength,flux
4823.918,57.4983
4825.030,55.0752
4826.140,58.0775
4827.253,58.7194
4828.364,55.8482
4829.477,54.5455
4830.588,54.3189
4831.699,55.0984
4832.813,55.9414
4833.925,54.7520
4835.040,53.5300
4836.152,51.9878
4837.268,55.5101
4838.380,54.5246
4839.494,55.0553
4840.609,53.5851
4841.723,53.4797
4842.839,52.8010
4843.954,51.3707
4845.071,52.1828
4846.185,52.1867
4847.300,50.7600
4848.418,53.0596
4849.533,53.8603
4850.651,50.5243
4851.768,52.6948
4852.886,50.4525
4854.002,50.6359
4855.119,52.4820
4856.239,51.9324
4857.356,49.8998
4858.476,51.7915
4859.594,49.1031
4860.714,50.6306
4861.833,52.4818
4862.951,50.6216
4864.072,46.9971
4865.191,53.0678
4866.313,48.5655
4867.433,49.5271
4868.555,50.7522
4869.675,53.2265
4870.795,51.9728
4871.919,51.0384
4873.040,51.3971
4874.163,49.6899
4875.285,50.7012
4876.409,52.1818
4877.531,51.9473
4878.653,50.6446
4879.778,47.5952
4880.900,49.4098
4882.026,50.9597
4883.149,50.8873
4884.275,48.9348
4885.398,51.8558
4886.522,51.2483
4887.649,52.7057
4888.773,53.4673
4889.901,51.7694
4891.026,52.0979
4892.154,52.1932
4893.279,50.0208
4894.405,51.4559
4895.534,52.3318
4896.660,54.7234
4897.789,53.4007
4898.916,53.9680
4900.045,54.8955
4901.172,53.0069
4902.300,53.3987
4903.431,53.7292
4904.559,52.3876
4905.689,54.4826
4906.818,55.4833
4907.950,54.8214
4909.079,56.3543
4910.208,54.9261
4911.340,55.5682
4912.470,57.3675
4913.603,53.5874
4914.733,55.1668
4915.867,53.8320
4916.998,57.6225
4918.131,55.7273
4919.263,52.6442
4920.395,52.6139
4921.529,53.6131
4922.661,55.2347
4923.796,56.3881
4924.929,53.4892
4926.065,53.0998
4927.198,55.6831
4928.332,54.4988
4929.468,55.0957
4930.602,54.7302
4931.739,53.6419
4932.874,56.2291
4934.011,56.2004
4935.146,56.7455
4936.281,57.4278
4937.419,56.5526
4938.556,57.3764
4939.694,57.5004
4940.831,56.4741
4941.970,58.3616
4943.107,58.3114
4944.244,57.1140
4945.384,58.1912
4946.522,58.5796
4947.663,59.1109
4948.801,57.0774
4949.942,56.7695
4951.081,56.0624
4952.220,53.6992
4953.362,58.4910
4954.501,55.9305
4955.644,58.4505
4956.784,59.4354
4957.927,57.0777
4959.067,58.5071
4960.208,55.6998
4961.352,56.4598
4962.493,55.9510
4963.638,55.9194
4964.779,57.4706
4965.924,57.7038
4967.067,56.2502
4968.209,56.7299
4969.355,55.1726
4970.498,56.1575
4971.645,56.2980
4972.788,57.5399
4973.935,55.6967
4975.079,55.4067
4976.224,56.5063
4977.371,58.1468
4978.516,56.4115
4979.664,55.1245
4980.810,55.3391
4981.958,53.2082
4983.104,52.8793
4984.251,55.4760
4985.400,54.9879
4986.547,53.4663
4987.697,55.5175
4988.844,56.3997
4989.995,55.2378
4991.143,55.3146
4992.291,53.3416
4993.442,52.3040
4994.591,55.3343
4995.743,54.9591
4996.892,52.1403
4998.044,52.0223
4999.194,53.2579
5000.344,50.8745
5001.497,54.0894
5002.647,53.0545
5003.801,53.7825
5004.952,52.6883
5006.106,49.9467
5007.258,53.2399
5008.413,51.5583
5009.565,51.4827
5010.717,50.8613
5011.873,50.5965
5013.026,52.5425
5014.182,50.5899
5015.335,52.7337
5016.492,54.2213
5017.646,50.9500
5018.800,49.5986
5019.958,48.8966
5021.112,51.2932
5022.270,48.5319
5023.426,49.9864
5024.584,49.7628
5025.740,51.0264
5026.896,49.7964
5028.055,51.7864
5029.212,51.8430
5030.372,48.9855
5031.529,48.2133
5032.689,48.6658
5033.847,49.4226
5035.005,50.6887
5036.166,50.7434
5037.325,48.2863
5038.486,50.2764
5039.646,50.5179
5040.808,50.2574
5041.967,49.9008
5043.127,49.2291
5044.290,47.4453
5045.450,48.0389
5046.614,50.0063
5047.775,48.0805
5048.939,50.4720
5050.100,46.1592
5051.262,52.0467
5052.427,47.9028
5053.589,51.2340
5054.754,48.3207
5055.917,49.0945
5057.083,48.3292
5058.247,49.3829
5059.410,50.2968
5060.577,50.2929
5061.741,49.5923
5062.908,50.8729
5064.073,50.7663
5065.241,49.0724
5066.406,50.7499
5067.572,47.5274
5068.740,50.3241
5069.906,50.5356
5071.075,47.9469
5072.242,48.5177
5073.412,50.1692
5074.579,49.7678
5075.746,50.2523
5076.917,53.2188
5078.084,49.3770
5079.255,48.6502
5080.424,46.9630
5081.596,48.9666
5082.765,46.4551
5083.934,48.0175
5085.106,48.5044
5086.276,49.7502
5087.449,48.2841
5088.619,49.4343
5089.792,50.7919
5090.963,49.1798
5092.135,46.1611
5093.309,48.2035
5094.480,48.9074
5095.655,49.1757
5096.828,49.9498
5098.003,49.6824
5099.176,47.7145
5100.352,48.6802
5101.525,52.3294
5102.699,50.7143
5103.875,49.5548
5105.049,50.8546
5106.227,49.3394
5107.401,47.6370
5108.579,49.5484
5109.754,49.2800
5110.930,48.7745
5112.108,48.3185
5113.284,49.0310
5114.463,50.0572
5115.640,47.7258
5116.820,48.8657
5117.997,50.9608
5119.174,49.8756
5120.354,50.1066
5121.533,48.7648
5122.713,48.0581
5123.892,47.5716
5125.074,50.5165
5126.252,49.1780
5127.432,46.0167
5128.614,50.9998
5129.794,47.2216
5130.977,48.1287
5132.157,51.4543
5133.341,48.9287
5134.522,49.8083
5135.703,48.5940
5136.887,50.4390
5138.069,49.7132
5139.254,50.7409
5140.436,49.5160
5141.622,52.7290
5142.804,50.7506
5143.987,49.9646
5145.174,52.4103
5146.357,49.2612
5147.544,49.1754
5148.728,51.3546
5149.916,50.5328
5151.100,49.6791
5152.285,49.1153
5153.473,48.8518
5154.659,50.4492
5155.848,50.5799
5157.034,51.3506
5158.223,49.5209
5159.410,51.9163
5160.596,52.1838
5161.786,49.7074
5162.974,52.0299
5164.165,54.0934
5165.353,50.8960
5166.543,50.0732
5167.732,48.3106
5168.921,49.9391
5170.113,49.9613
5171.302,49.2693
5172.495,52.0738
5173.685,49.3862
5174.878,50.7320
5176.068,49.5299
5177.259,50.9388
5178.453,52.7316
5179.644,50.6911
5180.838,50.2379
5182.030,51.6160
5183.225,51.3088
5184.417,53.5148
5185.610,52.9862
5186.806,51.2905
5188.000,51.4405
5189.196,49.8213
5190.390,53.7328
5191.586,53.2359
5192.781,52.7027
5193.978,51.3901
5195.173,52.8380
5196.368,55.9829
5197.566,53.5272
5198.762,51.8268
5199.961,54.5242
5201.157,53.7836
5202.356,52.7317
5203.553,51.4516
5204.750,52.5533
5205.951,54.1069
